id,first,last,dob,signup,email,signupDurationSeconds,id_type,id_country,nationality,domicile,device,ad_redirect,vpn,creditScore,profit,high,pct_rank,top
3450,Vikki,D'Amore,1978-01-03,2020-07-21,gmail,495,passport,France,UK,Germany,ios,1,0,407,157.07,1,0.9319,1
4397,Mickey,Pacocha,1952-08-12,2021-01-08,hotmail,105,drivers_licence,Russia,UK,Russia,ios,1,0,695,53.64,0,0.71,1
270,Flem,Predovic,1950-12-27,2020-08-28,gmail,858,national_id,Russia,France,UK,ios,0,0,702,22.13,0,0.39645,0
3592,Devan,Dicki,1980-05-25,2020-02-16,hotmail,364,passport,Russia,Germany,Russia,ios,1,0,627,29.09,1,0.4965,0
4437,Syble,Kulas,1964-09-29,2021-01-08,gmail,259,national_id,Germany,France,France,ios,1,0,656,5.11,0,0.0539,0
1938,Alivia,Romaguera,1956-11-12,2020-11-07,gmail,1071,passport,Germany,France,Germany,ios,1,1,489,9.06,1,0.146,0
3738,Shalon,Swift,1976-05-19,2020-03-31,yahoo,1058,national_id,Russia,Germany,France,android,0,0,679,25.27,0,0.44385,0
240,Gibson,Aufderhar,1961-02-23,2020-11-06,gmail,1087,national_id,Germany,Russia,Germany,android,0,0,728,51.32,0,0.6962,1
4010,Ruffus,Hintz,1942-11-07,2020-04-09,hotmail,185,drivers_licence,France,France,France,android,0,0,455,23.21,0,0.41315,0
1561,Mylie,Legros,1968-08-02,2021-01-15,gmail,980,passport,UK,France,Russia,android,0,0,765,31.75,0,0.52705,0
3586,Hermann,Kling,1960-08-06,2020-07-22,yahoo,586,national_id,Russia,UK,Germany,android,1,0,766,67.07,0,0.7687,1
2111,Osbaldo,Graham,1947-02-21,2020-11-09,hotmail,103,passport,France,Germany,France,ios,0,1,563,37.23,1,0.587,0
5024,Ezra,O'Keefe,1945-07-14,2020-11-14,gmail,921,national_id,Germany,UK,France,android,1,0,835,97.63,0,0.8565,1
764,Leo,Gerlach,1942-10-15,2020-12-27,yahoo,565,drivers_licence,Russia,Germany,UK,android,1,0,763,17.92,0,0.32635,0
3116,Jinnie,Berge,1955-08-28,2020-10-07,yahoo,495,passport,Russia,France,UK,android,0,0,595,10.2,1,0.1715,0
1216,Harding,Kassulke,1955-07-11,2020-10-17,yahoo,104,passport,France,UK,UK,ios,1,0,827,114.74,1,0.8886,1
2301,Lance,Renner,1940-02-21,2020-08-20,gmail,1021,passport,Germany,UK,Germany,ios,0,0,324,48.09,1,0.6764,1
2617,Arizona,Ortiz,1972-07-12,2021-01-28,yahoo,401,drivers_licence,Germany,UK,Germany,ios,0,0,686,73.07,1,0.78825,1
1285,Genoveva,Schmeler,1962-09-28,2021-01-29,yahoo,435,drivers_licence,UK,France,Russia,ios,0,0,419,16.14,0,0.29395,0
4553,Luna,Larkin,1956-03-02,2020-01-01,gmail,886,drivers_licence,UK,France,Russia,android,0,0,498,12.87,0,0.22795,0
45,Madden,Harris,1941-03-11,2020-07-12,gmail,806,national_id,Germany,Germany,Russia,ios,0,0,640,243.7,1,0.9714,1
3281,Sol,Quigley,1959-01-20,2020-08-13,yahoo,491,drivers_licence,UK,France,France,android,0,0,608,16.64,0,0.30395,0
2788,Marisa,Stracke,1943-10-02,2020-06-26,gmail,460,national_id,France,UK,UK,ios,0,0,529,8.74,0,0.1375,0
1699,Malia,Reichert,1970-03-25,2020-12-23,hotmail,37,passport,Russia,Russia,Germany,android,1,0,318,105.79,1,0.8755,1
1497,Darrell,Wilkinson,1947-11-25,2020-09-17,yahoo,1151,national_id,Germany,Germany,France,android,0,1,511,38.09,0,0.59465,0
5593,Leta,Morar,1981-12-21,2020-06-19,hotmail,295,drivers_licence,Russia,UK,Germany,android,0,0,769,17.97,0,0.32755,0
1552,Juan,Torp,1994-04-12,2020-05-26,gmail,1112,national_id,UK,Germany,Russia,windows,0,0,467,6.21,0,0.0783,0
3687,Kaela,Erdman,1960-10-13,2020-06-20,gmail,82,passport,UK,Germany,France,android,0,0,827,73.42,1,0.7897,1
671,Lillianna,Konopelski,1967-06-19,2020-07-04,gmail,550,drivers_licence,Russia,UK,Germany,ios,0,0,770,78.6,1,0.8078,1
4014,Kylie,Moore,1965-09-20,2020-09-16,hotmail,259,national_id,Germany,France,Russia,android,0,1,579,3.15,0,0.0212,0
